Date,Open,High,Low,Close,Volume,Dividend
2018-04-26,28.9,31.75,28.65,31.21,13590152,0
2018-04-27,30.95,31.5,29.68,30.52,1744866,0
2018-04-30,30.76,32.0,30.21,31.58,638939,0
2018-05-01,31.42,32.4,31.26,31.48,858596,0
2018-05-02,31.48,33.65,31.48,32.75,845513,0
2018-05-03,32.63,34.43,32.53,33.79,1807868,0
2018-05-04,33.88,34.89,33.8,34.09,679622,0
2018-05-07,34.09,34.7,33.9,33.99,325618,0
2018-05-08,34.48,34.77,32.46,32.95,413943,0
2018-05-09,33.13,34.25,33.05,33.47,466652,0
2018-05-10,33.59,33.87,32.83,33.13,731641,0
2018-05-11,33.32,34.63,33.16,34.38,241875,0
2018-05-14,34.5,37.13,33.36,36.48,868316,0
2018-05-15,36.61,37.31,36.46,36.95,565839,0
2018-05-16,37.41,37.41,35.74,37.2,219216,0
2018-05-17,37.2,38.41,36.66,38.33,826669,0
2018-05-18,38.44,38.87,36.52,36.82,615850,0
2018-05-21,36.43,36.62,34.8,35.16,909271,0
2018-05-22,35.08,35.92,33.2,34.32,335543,0
2018-05-23,34.14,34.5,33.76,33.97,405300,0
2018-05-24,34.11,34.31,33.53,33.71,397134,0
2018-05-25,33.57,33.87,33.22,33.6,256911,0
2018-05-29,33.4,34.34,33.0,34.24,218090,0
2018-05-30,34.23,34.75,33.79,34.67,546050,0
2018-05-31,34.63,35.0,34.28,34.52,361000,0
2018-06-01,35.01,35.01,34.01,34.53,414431,0
2018-06-04,34.44,36.26,34.39,35.96,521246,0
2018-06-05,35.97,36.68,35.95,36.35,319368,0
2018-06-06,36.56,38.64,36.56,38.16,307177,0
2018-06-07,38.27,38.85,36.68,37.11,782482,0
2018-06-08,36.47,37.65,35.95,37.4,666155,0
2018-06-11,37.83,38.23,36.27,36.49,408473,0
2018-06-12,36.48,37.82,36.39,37.62,508287,0
2018-06-13,37.53,37.83,37.23,37.66,641239,0
2018-06-14,37.46,41.02,35.4,38.19,1771669,0
2018-06-15,38.15,38.86,37.26,38.45,1402687,0
2018-06-18,38.36,42.46,38.34,39.78,1646109,0
2018-06-19,39.26,39.62,37.0,37.2,602338,0
2018-06-20,37.32,38.24,36.99,37.01,409376,0
2018-06-21,36.85,37.48,36.4,36.55,549878,0
2018-06-22,36.51,36.7,35.7,35.75,1893289,0
2018-06-25,35.67,35.67,34.7,34.82,458834,0
2018-06-26,34.99,35.47,34.74,35.03,405719,0
2018-06-27,35.0,35.0,34.27,34.33,678143,0
2018-06-28,34.21,34.27,33.61,34.04,377998,0
2018-06-29,33.87,34.12,33.14,33.19,459068,0
2018-07-02,33.18,33.27,32.03,32.82,507918,0
2018-07-03,32.83,33.49,32.4,33.38,384542,0
2018-07-05,34.32,34.5,32.9,33.93,583540,0
2018-07-06,34.11,34.45,33.67,33.85,350649,0
2018-07-09,33.84,34.18,32.87,32.92,290731,0
2018-07-10,32.73,33.24,32.24,33.12,822035,0
2018-07-11,33.02,33.2,32.47,32.58,299956,0
2018-07-12,32.7,34.55,32.34,34.48,368294,0
2018-07-13,34.4,35.5,34.19,34.66,293046,0
2018-07-16,34.52,35.33,34.52,35.12,166153,0
2018-07-17,34.88,35.56,34.75,34.89,141405,0
2018-07-18,34.81,34.96,34.51,34.9,206382,0
2018-07-19,34.9,35.27,34.57,34.84,128820,0
2018-07-20,34.8,35.75,34.66,35.03,171808,0
2018-07-23,34.87,35.4,34.58,35.06,122673,0
2018-07-24,35.34,35.72,34.1,34.96,315562,0
2018-07-25,34.9,35.22,34.58,34.72,131291,0
2018-07-26,34.56,34.99,34.08,34.92,66990,0
2018-07-27,35.09,35.12,33.78,34.02,306367,0
2018-07-30,33.79,34.09,31.52,32.08,373422,0
2018-07-31,32.28,33.22,31.64,32.76,196453,0
2018-08-01,33.0,34.27,33.0,33.57,295308,0
2018-08-02,33.44,34.89,33.13,34.81,198752,0
2018-08-03,34.83,35.58,34.52,35.5,197869,0
2018-08-06,35.81,37.33,35.61,37.23,250109,0
2018-08-07,37.39,37.85,37.15,37.24,279365,0
2018-08-08,37.18,38.05,36.21,37.64,749201,0
2018-08-09,37.67,37.67,32.76,33.51,1810074,0
2018-08-10,34.65,35.65,33.65,35.19,821798,0
2018-08-13,35.07,35.99,32.55,34.39,1609862,0
2018-08-14,34.53,35.8,34.0,34.53,398858,0
2018-08-15,34.1,34.46,33.62,33.84,214321,0
2018-08-16,34.0,35.13,33.56,34.75,361631,0
2018-08-17,34.56,35.01,33.94,34.07,314477,0
2018-08-20,34.19,34.65,33.49,34.04,229377,0
2018-08-21,34.45,35.16,34.15,34.74,241978,0
2018-08-22,34.72,35.66,34.69,35.35,279133,0
2018-08-23,35.31,36.65,35.3,35.98,265266,0
2018-08-24,35.96,37.97,35.96,37.84,468272,0
2018-08-27,38.19,38.59,37.88,38.45,358592,0
2018-08-28,38.31,39.35,37.97,38.65,272564,0
2018-08-29,38.83,39.08,38.26,38.29,125524,0
2018-08-30,37.87,38.95,37.75,38.56,105042,0
2018-08-31,38.64,38.83,38.19,38.5,108183,0
2018-09-04,38.34,39.3,38.09,38.63,285389,0
2018-09-05,38.46,38.49,36.8,37.0,238780,0
2018-09-06,37.16,37.68,36.07,37.51,110915,0
2018-09-07,37.42,38.8,36.7,37.72,211668,0
2018-09-10,37.76,38.65,37.42,37.53,206807,0
2018-09-11,37.52,37.85,37.16,37.38,147648,0
2018-09-12,37.42,37.54,36.46,36.54,201796,0
2018-09-13,36.8,37.87,36.8,37.18,199857,0
2018-09-14,37.36,41.85,37.36,41.45,1558700,0
2018-09-17,41.37,44.19,41.0,43.75,1232064,0
2018-09-18,43.36,44.97,43.06,44.0,1907184,0
2018-09-19,44.25,44.98,42.85,43.42,682682,0
2018-09-20,43.99,44.3,41.92,43.01,679262,0
2018-09-21,43.12,43.39,41.83,42.01,569028,0
2018-09-24,41.86,42.67,41.5,42.31,222905,0
2018-09-25,42.3,43.0,40.84,41.15,331440,0
2018-09-26,41.1,41.87,40.76,40.96,561636,0
