Date,Open,High,Low,Close,Volume,Dividend
2018-01-16,101.87,102.25,101.19,101.22,580400,0
2018-01-17,101.68,101.74,101.02,101.49,520400,0
2018-01-18,101.49,102.09,101.11,101.57,579400,0
2018-01-19,102.14,103.59,102.14,103.06,876500,0
2018-01-22,103.23,103.58,102.91,103.57,589500,0
2018-01-23,103.08,103.37,102.14,103.12,896700,0
2018-01-24,103.74,105.16,103.45,104.62,890900,0
2018-01-25,104.76,105.22,103.76,105.15,1064000,0
2018-01-26,105.6,106.64,104.71,106.62,732500,0
2018-01-29,107.0,108.81,106.62,107.88,1221700,0
2018-01-30,106.92,108.3,105.83,107.16,1102700,0
2018-01-31,107.47,107.47,105.11,105.82,1446700,0
2018-02-01,105.98,105.98,102.0,103.58,1814500,0
2018-02-02,103.3,104.45,102.82,103.11,1320900,0
2018-02-05,102.75,104.43,100.1,100.1,2169900,0
2018-02-06,97.49,101.71,95.68,101.13,1662900,0
2018-02-07,100.73,102.44,100.52,100.58,1432000,0
2018-02-08,100.5,100.7,96.39,96.42,1518600,0
2018-02-09,97.5,99.13,95.27,98.34,1516200,0
2018-02-12,98.71,99.71,97.89,99.07,974000,0
2018-02-13,99.87,101.88,99.22,101.39,1306200,0
2018-02-14,100.76,101.87,100.39,101.51,1201400,0
2018-02-15,102.17,103.14,101.67,103.09,941300,0
2018-02-16,102.7,104.79,102.35,104.53,783000,0
2018-02-20,104.0,104.36,102.02,102.26,1108300,0
2018-02-21,102.4,103.5,101.87,101.91,838900,0
2018-02-22,102.16,102.64,100.65,100.85,1052200,0
2018-02-23,101.0,102.6,100.26,102.6,766600,0
2018-02-26,102.74,104.09,102.61,104.09,1018300,0
2018-02-27,104.1,106.0,103.95,104.79,1535900,0
2018-02-28,104.99,105.48,103.05,103.05,1648900,0
2018-03-01,103.03,103.59,100.06,100.41,1218000,0
2018-03-02,100.14,101.86,100.14,101.44,850200,0
2018-03-05,101.0,103.08,100.54,102.89,472200,0
2018-03-06,103.58,104.17,102.77,104.14,877600,0
2018-03-07,103.97,105.91,103.39,104.36,1416200,0
2018-03-08,104.77,105.16,103.65,104.64,764600,0
2018-03-09,105.21,107.52,104.16,106.99,1027800,0
2018-03-12,106.99,107.0,105.59,105.6,1024100,0
2018-03-13,106.15,106.15,104.7,104.99,733700,0
2018-03-14,106.08,106.24,104.13,104.96,873100,0
2018-03-15,104.94,105.47,104.45,104.72,689800,0
2018-03-16,105.06,105.5,104.05,104.35,1374100,0
2018-03-19,104.37,104.82,103.36,103.86,669700,0
2018-03-20,104.03,104.58,103.3,103.57,853800,0
2018-03-21,103.78,104.31,103.29,103.63,704800,0
2018-03-22,103.16,104.28,102.24,102.3,902600,0
2018-03-23,102.21,102.35,99.6,99.78,857700,0
2018-03-26,100.54,100.61,99.18,100.42,761000,0
2018-03-27,100.56,101.24,99.38,99.95,829200,0
2018-03-28,100.3,100.66,98.83,99.51,1037900,0
2018-03-29,100.2,100.81,99.19,100.3,733300,0
2018-04-02,100.35,100.42,96.59,97.81,1173700,0
2018-04-03,97.62,98.95,97.17,98.9,1066500,0
2018-04-04,97.91,99.57,97.27,99.29,910100,0
2018-04-05,99.7,100.73,98.99,99.83,1020300,0
